Time Step,difference,close,far,ratio
,,,,
1,5.782668702,5.782668702,0,0
,,,,
2,6.071614567,6.071614567,0,0
,,,,
3,9.174541448,9.174541448,0,0
,,,,
4,9.483098471,9.483098471,0,0
,,,,
5,11.54454572,11.54454572,0,0
,,,,
6,11.85374394,11.85374394,0,0
,,,,
7,13.37466857,13.37466857,0,0
,,,,
8,13.6664081,13.6664081,0,0
,,,,
9,14.84353215,14.84353215,0,0
,,,,
10,15.11915938,15.13399218,0.014832793,0.000980098
,,,,
11,16.05686181,16.07576906,0.01890725,0.001176133
,,,,
12,16.30155466,16.36022033,0.058665667,0.003585873
,,,,
13,17.08877079,17.16037036,0.07159957,0.004172379
,,,,
14,17.28698336,17.42698638,0.140003013,0.00803369
,,,,
15,17.93489937,18.10036803,0.165468659,0.009141729
,,,,
16,18.10652449,18.36851967,0.261995179,0.014263271
,,,,
17,18.65214897,18.95401574,0.301866775,0.01592627
,,,,
18,18.78071815,19.20436441,0.423646265,0.022059895
,,,,
19,19.24594902,19.72512551,0.479176491,0.024292697
,,,,
20,19.32304556,19.94576202,0.622716462,0.03122049
,,,,
21,19.7280115,20.42145152,0.693440023,0.033956451
,,,,
22,19.76791274,20.62329735,0.855384612,0.041476617
,,,,
23,20.13246144,21.07407588,0.941614436,0.044681173
,,,,
24,20.16035485,21.27801004,1.117655192,0.052526303
,,,,
25,20.44981823,21.66506539,1.215247158,0.056092476
,,,,
26,20.45546455,21.86124578,1.405781222,0.064304717
,,,,
27,20.71201857,22.22864312,1.516624549,0.068228391
,,,,
28,20.71015431,22.42674571,1.716591397,0.076542153
,,,,
29,20.93494824,22.77180232,1.836854084,0.080663535
,,,,
30,20.91988112,22.96689578,2.047014656,0.089128922
,,,,
31,21.09835048,23.28067937,2.182328887,0.093739914
,,,,
32,21.06833763,23.46327857,2.394940945,0.10207188
,,,,
33,21.22786356,23.7641422,2.536278638,0.106727128
,,,,
34,21.18863696,23.942558,2.753921037,0.115022005
,,,,
35,21.34064831,24.24432023,2.903671918,0.1197671
,,,,
36,21.3163633,24.43390497,3.117541675,0.127590808
,,,,
37,21.39892743,24.67489834,3.275970909,0.132765325
,,,,
38,21.38405021,24.88587597,3.501825764,0.140715391
,,,,
39,21.44663836,25.10419678,3.657558417,0.145695098
,,,,
40,21.43496402,25.32634656,3.891382541,0.153649581
,,,,
41,21.48116897,25.54295183,4.061782851,0.159017755
,,,,
42,21.46273366,25.74149673,4.278763074,0.166220446
,,,,
43,21.50768771,25.97108185,4.463394141,0.171860155
,,,,
44,21.50422327,26.18296381,4.678740537,0.178694076
,,,,
45,21.52764088,26.39728539,4.869644513,0.1844752
,,,,
46,21.50515218,26.59285678,5.087704594,0.191318467
,,,,
47,21.52751229,26.79396694,5.266454652,0.196553749
,,,,
48,21.50643711,26.99564944,5.489212333,0.203336925
,,,,
49,21.51481715,27.19316645,5.6783493,0.208815303
,,,,
50,21.49047968,27.39201436,5.90153468,0.215447269
,,,,
51,21.49671011,27.60004991,6.103339799,0.2211351
,,,,
52,21.48331149,27.80023617,6.316924683,0.227225576
,,,,
53,21.48723691,28.00505452,6.517817612,0.232737187
,,,,
54,21.42446989,28.15716596,6.732696065,0.239111283
,,,,
55,21.44721911,28.37237079,6.925151674,0.244080825
,,,,
56,21.41469587,28.55588416,7.141188285,0.250077646
,,,,
57,21.4148904,28.74579258,7.330902185,0.255025224
,,,,
58,21.36602718,28.9235123,7.557485121,0.261292095
,,,,
59,21.42514472,29.17113936,7.745994633,0.265536239
,,,,
60,21.34610503,29.31225831,7.966153279,0.271768664
,,,,
61,21.36456381,29.52033113,8.155767326,0.276276282
,,,,
62,21.32877805,29.70531046,8.37653241,0.281987708
,,,,
63,21.32644629,29.90539312,8.578946831,0.286869555
,,,,
64,21.24918913,30.05498256,8.805793434,0.292989471
,,,,
65,21.29130786,30.28818536,8.996877493,0.297042473
,,,,
66,21.22259178,30.44304673,9.220454952,0.302875564
,,,,
67,21.2639114,30.67708248,9.413171081,0.306847011
,,,,
68,21.19051394,30.82733911,9.63682517,0.312606454
,,,,
69,21.20996987,31.02273188,9.812762012,0.316308765
,,,,
70,21.13547926,31.18733317,10.05185391,0.322305657
,,,,
71,21.19861819,31.4046241,10.20600592,0.324984177
,,,,
72,21.1179294,31.564562,10.4466326,0.330960797
,,,,
73,21.15131846,31.76925954,10.61794107,0.334220603
,,,,
74,21.07848678,31.92541064,10.84692387,0.339758319
,,,,
75,21.09054031,32.12092439,11.03038407,0.343401826
,,,,
76,21.06036926,32.31111775,11.25074849,0.348200535
,,,,
77,21.06137974,32.49865936,11.43727961,0.351930813
,,,,
78,20.99858747,32.66844454,11.66985708,0.357221081
,,,,
79,21.06767047,32.89603276,11.82836229,0.359568048
,,,,
80,20.9687127,33.03612625,12.06741355,0.365279315
,,,,
81,21.01257347,33.24847162,12.23589814,0.368013853
,,,,
82,20.94853966,33.41424273,12.46570307,0.373065557
,,,,
83,20.93680631,33.62301862,12.68621232,0.377307358
,,,,
84,20.96759179,33.83745611,12.86986432,0.380343731
,,,,
85,20.88975854,33.97123462,13.08147609,0.385075086
,,,,
86,20.86960569,34.16032007,13.29071437,0.389068789
,,,,
87,20.80130928,34.31512851,13.51381923,0.393815201
,,,,
88,20.83282891,34.53127413,13.69844522,0.396696779
,,,,
89,20.76931485,34.6399351,13.87062025,0.400422813
,,,,
90,20.80264763,34.8888622,14.08621457,0.403745312
,,,,
91,20.71180906,34.99298926,14.2811802,0.408115468
,,,,
92,20.72432555,35.24066304,14.51633749,0.411920101
,,,,
93,20.67126727,35.35889837,14.6876311,0.415387124
,,,,
94,20.69467517,35.59717913,14.90250396,0.418642834
,,,,
95,20.68183171,35.76622489,15.08439318,0.42174966
,,,,
96,20.66799485,35.96222171,15.29422685,0.425285929
,,,,
97,20.69156355,36.17163719,15.48007363,0.427961653
,,,,
98,20.6443887,36.30779109,15.66340239,0.431406095
,,,,
99,20.62594162,36.4985666,15.87262497,0.434883516
,,,,
100,20.60104283,36.65147723,16.0504344,0.437920532
,,,,
101,20.58589513,36.84961936,16.26372422,0.441353927
,,,,
102,20.54295049,36.98680948,16.44385899,0.444587117
,,,,
103,20.57703627,37.24707162,16.67003535,0.447552912
,,,,
104,20.50341833,37.34944027,16.84602194,0.451038137
,,,,
105,20.5464253,37.59654506,17.05011976,0.453502303
,,,,
106,20.51427677,37.74553721,17.23126044,0.456511199
,,,,
107,20.5315916,37.96456218,17.43297058,0.459190613
,,,,
108,20.47592967,38.12025525,17.64432557,0.462859586
,,,,
109,20.48434089,38.29833054,17.81398964,0.465137498
,,,,
110,20.44355051,38.47317314,18.02962263,0.468628428
,,,,
111,20.3818022,38.62320566,18.24140346,0.472291286
,,,,
112,20.37989944,38.79013351,18.41023406,0.474611258
,,,,
113,20.34168761,39.00155514,18.65986753,0.478439064
,,,,
114,20.3683513,39.18069333,18.81234203,0.480143163
,,,,
115,20.35730923,39.38135989,19.02405066,0.483072467
,,,,
116,20.34065681,39.5556807,19.21502389,0.485771539
,,,,
117,20.3296729,39.75580105,19.42612815,0.488636316
,,,,
118,20.32915942,39.95102925,19.62186983,0.491148043
,,,,
119,20.28818227,40.10907272,19.82089045,0.494174737
,,,,
120,20.29994306,40.3321161,20.03217304,0.496680437
,,,,
121,20.32392739,40.49824316,20.17431577,0.498152863
,,,,
122,20.25083654,40.65586387,20.40502733,0.501896292
,,,,
123,20.26200369,40.83853357,20.57652988,0.503850851
,,,,
124,20.2380428,41.0155754,20.7775326,0.506576645
,,,,
125,20.24678868,41.23694786,20.99015917,0.509013403
,,,,
126,20.21083795,41.37179087,21.16095291,0.511482642
,,,,
127,20.22955148,41.58410121,21.35454974,0.513526783
,,,,
128,20.20075007,41.72066054,21.51991047,0.515809438
,,,,
129,20.2616994,41.95651622,21.69481682,0.517078604
,,,,
130,20.15254291,42.06960751,21.9170646,0.520971454
,,,,
131,20.27991771,42.34483494,22.06491723,0.521076945
,,,,
132,20.20299975,42.46407385,22.2610741,0.524233124
,,,,
133,20.2117189,42.66227187,22.45055297,0.526239039
,,,,
134,20.1382901,42.7996292,22.66133909,0.529475127
,,,,
135,20.17978725,43.03428333,22.85449607,0.531076488
,,,,
136,20.12154473,43.19526363,23.07371889,0.534172429
,,,,
137,20.10267442,43.3815989,23.27892449,0.536608264
,,,,
138,20.08335231,43.5159071,23.43255479,0.538482508
,,,,
139,20.0633475,43.73171373,23.66836623,0.541217442
,,,,
140,20.08472269,43.8864787,23.801756,0.542348275
,,,,
141,20.07742673,44.13275104,24.05532431,0.54506741
,,,,
142,20.10670876,44.29320164,24.18649289,0.546054293
,,,,
143,20.04253116,44.46972058,24.42718943,0.549299368
,,,,
144,20.12889655,44.67456288,24.54566632,0.549432714
,,,,
145,19.97304405,44.78900068,24.81595664,0.554063637
,,,,
146,20.11341681,45.02268724,24.90927043,0.553260411
,,,,
147,20.00687595,45.15195523,25.14507928,0.556899013
,,,,
148,19.98628861,45.35602547,25.36973685,0.559346561
,,,,
149,20.01216084,45.54073542,25.52857459,0.560565708
,,,,
150,20.00409025,45.75305337,25.74896312,0.562781306
,,,,
151,20.02635708,45.92310747,25.89675039,0.563915463
,,,,
152,19.97239589,46.11564711,26.14325121,0.566906307
,,,,
153,20.04030532,46.30010428,26.25979896,0.567165007
,,,,
154,19.98599551,46.46634912,26.48035361,0.56988238
,,,,
155,20.0259495,46.64992572,26.62397622,0.570718513
,,,,
156,19.98409226,46.80607765,26.82198539,0.573044928
,,,,
157,19.99792159,47.00912878,27.01120719,0.574594933
,,,,
158,19.96301265,47.1653274,27.20231475,0.576743897
,,,,
159,20.03360743,47.38540445,27.35179702,0.57721987
,,,,
160,20.00009022,47.56029158,27.56020136,0.579479235
,,,,
161,19.99342509,47.70938162,27.71595653,0.580933049
,,,,
162,20.01902918,47.96430869,27.94527951,0.582626546
,,,,
163,19.99079903,48.10837668,28.11757766,0.584463239
,,,,
164,20.0580105,48.35256612,28.29455562,0.585171748
,,,,
165,19.95021109,48.48989991,28.53968882,0.588569761
,,,,
166,20.02891232,48.7299881,28.70107578,0.588981793
,,,,
167,19.91945134,48.80755218,28.88810084,0.591877682
,,,,
168,19.96326243,49.04760751,29.08434508,0.592981932
,,,,
169,19.89093557,49.17256621,29.28163064,0.595487136
,,,,
170,20.0066133,49.44485622,29.43824292,0.595375235
,,,,
171,19.91200359,49.54599144,29.63398785,0.598110705
,,,,
172,19.95853101,49.79745062,29.83891961,0.599205767
,,,,
173,19.86317826,49.89969183,30.03651357,0.601937857
,,,,
174,19.96370659,50.14893542,30.18522882,0.601911657
,,,,
175,19.90245705,50.26507452,30.36261747,0.604049984
,,,,
176,19.93292675,50.48374529,30.55081854,0.60516149
,,,,
177,19.95501947,50.6867397,30.73172023,0.606306904
,,,,
178,19.93848784,50.85681707,30.91832923,0.60794857
,,,,
179,19.87335494,51.00004468,31.12668974,0.610326715
,,,,
180,19.86520463,51.1980864,31.33288177,0.61199322
,,,,
181,19.79775615,51.32036131,31.52260516,0.614231941
,,,,
182,19.83709197,51.53210128,31.69500931,0.615053695
,,,,
183,19.81536294,51.63487951,31.81951656,0.616240744
,,,,
184,19.91142016,51.92285472,32.01143456,0.616519156
,,,,
185,19.75024728,51.98231578,32.2320685,0.620058341
,,,,
186,19.90247203,52.26350747,32.36103544,0.61918989
,,,,
187,19.75653709,52.34869407,32.59215698,0.622597327
,,,,
